accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
J02207.1	997	621	31	5.0543094	0.856477	harvey murine sarcoma virus p21 v-has protein gene	11807	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Harvey murine sarcoma virus	unclassified Harvey murine sarcoma virus subspecies/strain	unclassified Harvey murine sarcoma virus strain	C16	36303685
J02226.1	5130	2147	22	0.5299197	0.118128	JC virus complete genome	10632	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	JC polyomavirus	JC polyomavirus	C16	36303685
JX985409.1	12279	2864	43	0.5152939	0.0964617	Bovine viral diarrhea virus 3 isolate CH-KaHo/cont, complete genome	381707	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus H	Bovine viral diarrhea virus 3	Bovine viral diarrhea virus 3	C16	36303685
K00021.1	6296	2817	2777	58.73007	12.1496	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C16	36303685
KC617868.1	3780	3780	715	22.858953	5.21031	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C16	36303685
KP087798.1	8275	3332	764	15.360493	2.54317	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C16	36303685
KU324802.1	8203	8061	10708	178.95927	35.9571	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C16	36303685
KU936049.1	137452	1027	53	0.20026657	0.0106212	Bubaline alphaherpesvirus 1 strain b6, complete genome	202910	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bubaline alphaherpesvirus 1	unclassified Bubaline alphaherpesvirus 1 subspecies/strain	unclassified Bubaline alphaherpesvirus 1 strain	C16	36303685
KY574504.1	8275	6231	8478	126.474335	28.2211	Murine leukemia virus isolate AKR13, complete genome	11786	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	unclassified Murine leukemia virus subspecies/strain	unclassified Murine leukemia virus strain	C16	36303685
LC229035.1	8359	1968	1045	20.608356	3.44359	Friend murine leukemia virus (ISOLATE 57) genomic RNA, complete genome	11796	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Friend murine leukemia virus (ISOLATE 57)	Friend murine leukemia virus (ISOLATE 57)	C16	36303685
MF118167.1	3925	1999	34	1.1663576	0.23861	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C16	36303685
MH450109.1	8200	7922	4803	87.541985	16.1342	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C16	36303685
MH698402.1	162076	1246	188	0.23228511	0.0319513	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C16	36303685
V01108.1	5153	2416	32	0.7461523	0.171056	Human BK virus (strain Dunlop) genome. (Closely related to SV40.)	1891762	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus hominis	unclassified Betapolyomavirus hominis subspecies/strain	unclassified Betapolyomavirus hominis strain	C16	36303685
NC_004162.2	11826	11826	1038768	12897.135	29647.9	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C23	2962698
NC_035889.1	10808	1789	63	0.8069056	1.96747	Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome	64320	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Zika virus	unclassified Zika virus subspecies/strain	unclassified Zika virus strain	C23	2962698
AC_000007.1	35937	1689	22	0.08341017	0.20663	Human adenovirus 2, complete genome	10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 2	Human adenovirus 2	C23	2962698
KY316160.1	34169	1800	15	0.09074341	0.148174	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	C23	2962698
AF033807.1	8805	8765	19065	329.44308	730.836	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C23	2962698
AF033812.1	5894	1810	1316	33.739555	75.363	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C23	2962698
AF033814.1	3811	2862	1693	70.432945	149.945	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C23	2962698
AF411814.1	8217	2114	2701	53.322796	110.949	Amphotropic murine leukemia virus strain 1313, complete genome	188539	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Amphotropic murine leukemia virus	Amphotropic murine leukemia virus	C23	2962698
FJ544577.2	8183	8183	267044	4830.079	11015	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C23	2962698
FR872816.1	8562	8559	74426	1310.9675	2934.01	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C23	2962698
J02207.1	997	655	63	10.214876	21.3284	harvey murine sarcoma virus p21 v-has protein gene	11807	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Harvey murine sarcoma virus	unclassified Harvey murine sarcoma virus subspecies/strain	unclassified Harvey murine sarcoma virus strain	C23	2962698
J02226.1	5130	1173	13	0.29899597	0.85534	JC virus complete genome	10632	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	JC polyomavirus	JC polyomavirus	C23	2962698
JX985409.1	12279	2079	22	0.2631709	0.604745	Bovine viral diarrhea virus 3 isolate CH-KaHo/cont, complete genome	381707	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus H	Bovine viral diarrhea virus 3	Bovine viral diarrhea virus 3	C23	2962698
K00021.1	6296	2831	4286	94.23674	229.774	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C23	2962698
KC617868.1	3780	3776	402	12.339118	35.8961	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C23	2962698
KP087798.1	8275	3554	1398	27.89157	57.0232	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C23	2962698
KU324802.1	8203	8117	19202	329.63953	790.108	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C23	2962698
KY484771.1	8673	1129	93	1.52153	3.61931	Porcine endogenous retrovirus A gag-pol polyprotein and env protein genes, complete cds	194958	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus A	Porcine endogenous retrovirus A	C23	2962698
KY574504.1	8275	6323	12815	197.8485	522.713	Murine leukemia virus isolate AKR13, complete genome	11786	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	unclassified Murine leukemia virus subspecies/strain	unclassified Murine leukemia virus strain	C23	2962698
MF118167.1	3925	1812	26	0.7957616	2.23587	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C23	2962698
MH450109.1	8200	7939	8243	153.2082	339.3	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C23	2962698
MH698402.1	162076	1209	483	0.46487284	1.00587	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C23	2962698
V01108.1	5153	1141	10	0.23146112	0.655017	Human BK virus (strain Dunlop) genome. (Closely related to SV40.)	1891762	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus hominis	unclassified Betapolyomavirus hominis subspecies/strain	unclassified Betapolyomavirus hominis strain	C23	2962698
NC_004162.2	11826	11826	304359	3755.2454	8419.64	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C30	3056714
NC_035889.1	10808	10787	5034	69.798744	152.375	Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome	64320	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Zika virus	unclassified Zika virus subspecies/strain	unclassified Zika virus strain	C30	3056714
AC_000007.1	35937	2294	48	0.19467963	0.436963	Human adenovirus 2, complete genome	10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 2	Human adenovirus 2	C30	3056714
KY316160.1	34169	3563	31	0.16867045	0.296807	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	C30	3056714
AB362840.1	7246	4043	5806	107.51677	262.134	Orthohepevirus A genomic RNA, complete genome, isolate: 114d/A549	1678143	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Paslahepevirus	Paslahepevirus balayani	unclassified Paslahepevirus balayani subspecies/strain	unclassified Paslahepevirus balayani strain	C30	3056714
AF033807.1	8805	8768	44245	749.0441	1643.92	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C30	3056714
AF033811.1	8332	2502	25251	445.85492	991.458	Moloney murine leukemia virus, complete genome	11801	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Moloney murine leukemia virus	Moloney murine leukemia virus	C30	3056714
AF033812.1	5894	1864	2600	65.44185	144.314	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C30	3056714
AF033814.1	3811	1533	191	10.965857	16.3961	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C30	3056714
AF043303.1	4679	1149	12	0.29211748	0.839022	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	C30	3056714
AF411814.1	8217	2190	6138	111.80786	244.376	Amphotropic murine leukemia virus strain 1313, complete genome	188539	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Amphotropic murine leukemia virus	Amphotropic murine leukemia virus	C30	3056714
FJ544577.2	8183	8183	620304	10937.072	24799.2	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C30	3056714
FJ810126.1	5759	1382	13	0.27473703	0.738485	Culex pipiens densovirus, complete genome	185638	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoambidensovirus	Dipteran protoambidensovirus 1	Culex pipiens densovirus	Culex pipiens densovirus	C30	3056714
FR872816.1	8562	7313	159543	2735.0847	6096.04	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C30	3056714
J02207.1	997	560	141	23.375443	46.2668	harvey murine sarcoma virus p21 v-has protein gene	11807	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Harvey murine sarcoma virus	unclassified Harvey murine sarcoma virus subspecies/strain	unclassified Harvey murine sarcoma virus strain	C30	3056714
JX985409.1	12279	2877	44	0.53071153	1.17229	Bovine viral diarrhea virus 3 isolate CH-KaHo/cont, complete genome	381707	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus H	Bovine viral diarrhea virus 3	Bovine viral diarrhea virus 3	C30	3056714
K00021.1	6296	2517	9620	197.65099	499.868	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C30	3056714
KC617868.1	3780	3778	486	15.359504	42.062	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C30	3056714
KP087798.1	8275	2100	2777	49.492676	109.788	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C30	3056714
KU324802.1	8203	5217	20936	290.4299	834.961	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C30	3056714
KU936049.1	137452	1158	136	0.22576511	0.323693	Bubaline alphaherpesvirus 1 strain b6, complete genome	202910	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bubaline alphaherpesvirus 1	unclassified Bubaline alphaherpesvirus 1 subspecies/strain	unclassified Bubaline alphaherpesvirus 1 strain	C30	3056714
KY484771.1	8673	1143	242	3.793148	9.12833	Porcine endogenous retrovirus A gag-pol polyprotein and env protein genes, complete cds	194958	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus A	Porcine endogenous retrovirus A	C30	3056714
MF118167.1	3925	1756	29	0.89139074	2.41715	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C30	3056714
MH450109.1	8200	4604	12314	211.43541	491.282	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C30	3056714
MH698402.1	162076	1382	298	0.40848288	0.60151	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C30	3056714
NC_007653.1	156487	1159	28	0.4883041	0.0585363	Papiine herpesvirus 2, complete genome	340907	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Papiine alphaherpesvirus 2	unclassified Papiine alphaherpesvirus 2 subspecies/strain	unclassified Papiine alphaherpesvirus 2 strain	C30	3056714
NC_004162.2	11826	11826	11050694	134753.94	68092.4	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C7	13723132
KY316160.1	34169	1145	8	0.090890385	0.017061	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	C7	13723132
AF033807.1	8805	8767	20944	351.67798	173.331	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C7	13723132
AF033812.1	5894	2009	914	22.829735	11.3001	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C7	13723132
AF033813.1	5833	1949	410	12.353159	5.12199	Moloney murine sarcoma virus, complete genome	11809	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus	unclassified Moloney murine sarcoma virus subspecies/strain	unclassified Moloney murine sarcoma virus strain	C7	13723132
AF033814.1	3811	2719	1373	54.658836	26.253	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C7	13723132
FJ544577.2	8183	8183	246563	4298.9956	2195.64	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C7	13723132
FR872816.1	8562	8562	71081	1209.9021	604.958	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C7	13723132
K00021.1	6296	2996	3811	76.5153	44.1084	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C7	13723132
KC617868.1	3780	3779	507	16.25675	9.77379	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C7	13723132
KP087798.1	8275	3453	1319	23.977476	11.6151	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C7	13723132
KU324802.1	8203	8035	17894	293.98474	158.958	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C7	13723132
KU936049.1	137452	1033	57	0.18963307	0.0302183	Bubaline alphaherpesvirus 1 strain b6, complete genome	202910	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bubaline alphaherpesvirus 1	unclassified Bubaline alphaherpesvirus 1 subspecies/strain	unclassified Bubaline alphaherpesvirus 1 strain	C7	13723132
KY484771.1	8673	1151	108	1.6500058	0.907405	Porcine endogenous retrovirus A gag-pol polyprotein and env protein genes, complete cds	194958	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus A	Porcine endogenous retrovirus A	C7	13723132
